Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Absolute Pressure (kPa),Current (A),Voltage (V),Power (W)
0,0,,,0,,,175.6,0,-0.02,1.66E-05
0.005,0,0,,0,0,,175.7,0,-0.02,2.22E-05
0.01,0,0,0,0,0,0,175.7,0,-0.02,2.22E-05
0.015,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.02,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.025,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.03,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.035,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.04,0,0,0,0,0,0,175.7,0,-0.02,2.22E-05
0.045,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.05,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.055,0,0,0,0,0,0,175.7,-5.35E-04,-0.02,8.32E-06
0.06,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.065,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.07,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.075,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.08,0,0,0,0,0,0,175.7,0,-0.02,2.22E-05
0.085,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.09,0,0,0,0,0,0,175.7,-5.35E-04,-0.02,8.32E-06
0.095,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.1,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.105,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.11,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.115,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.12,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.125,0,0,0,0,0,0,175.7,0,-0.02,2.50E-05
0.13,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.135,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
0.14,0,0,0,0,0,0,175.7,0,-0.02,1.66E-05
